name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,dissolution_date,date_of_organization_meeting,reason_for_administrative,mailing_address
GREGORY'S LUXURY FLOORS LLC,LLC,Active,Annual report past due,1362023,2021-03-31,1641 MAIN ST,STRATFORD,United States,06615,CT,DOCS@CELEBRAIGROUP.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),238330.0,2021-11-10 00:12:39.6500000,,,,,,,,,,,,,,,,,,,,,,
"GLK PROPERTIES GROUP, LLC",LLC,Active,Annual report past due,1362024,2021-03-31,7579 MAIN ST,STRATFORD,United States,06614,CT,GKALEMBA2011@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:39.6500000,,,,,,,,,,,,,,,,,,,,,,
SOHO CT CAFE LLC,LLC,Active,Annual report past due,1362025,2021-03-31,29 MAIN ST,TORRINGTON,United States,,CT,SOCIALHOUSECT@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,True,False,True,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:12:39.6500000,,,,,,,,,,,,,,,,,,,,,,
CASAVALENTINA711 LLC,LLC,Active,Annual report past due,1362026,2021-03-31,28 FOUR BROOKS ROAD,STAMFORD,United States,06903,CT,INTERMAYA@AOL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,True,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
NGB BUSINESS SOLUTIONS LLC,LLC,Active,Annual report past due,1362027,2021-03-31,138 FOREST STREET,NEW CANAAN,United States,06840,CT,NOLAN.GILBERT.BROWN@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,True,False,All Other Information Services (519190),519190.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
"850 MAIN, LLC",LLC,Active,,1362028,2022-03-31,"3225 MCLEOD DRIVE, SUITE 100",LAS VEGAS,United States,89121,NV,ra@andersonadvisors.com,Domestic,2020-10-08,NV,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
MICROGROWN LLC,LLC,Active,,1362029,2022-03-31,42 TILTON ST APT 3L,NEW HAVEN,United States,06511,CT,brian.a.shoemaker@alumni.wfu.edu,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Crop Farming (111998),111998.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
WESLEY REALTY GROUP LLC,LLC,Active,,1362030,2022-03-31,276 5TH AVE SUITE 704,NEW YORK,United States,10001,NY,miss.darden@hotmail.com,Domestic,2020-10-08,NY,Connecticut,True,False,True,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
BOBA BOBA LLC,LLC,Active,Annual report past due,1362031,2021-03-31,5 SOUTH MAIN STREET,WEST HARTFORD,United States,06107,CT,BOBABOBA1LLC@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Snack and Nonalcoholic Beverage Bars (722515),722515.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
"BLUEBERRY CAT, LLC",LLC,Active,,1362035,2022-03-31,184 LORANN DRIVE,NAUGATUCK,United States,06770,CT,john.miklinevich@gmail.com,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
FAIRWINDS TECHNOLOGIES LLC,LLC,Active,Annual report past due,1362038,2021-03-31,920 MELVIN RD.,ANNAPOLIS,,21403,MD,,Foreign,2020-10-08,DE,DE,False,False,False,False,False,,,2021-11-10 00:12:40.3200000,2020-08-22,FAIRWINDS TECHNOLOGIES LLC,,,,,,,,,,,,,,,,,,,,
ZEPPELIN AESTHETICS LLC,LLC,Active,,1362039,2022-03-31,40 SAINT GEORGE AVENUE,STAMFORD,United States,06905,CT,compliance@zenbusiness.com,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
"PIZZAZZ PYROTECHNICS, LLC",LLC,Active,,1362040,2022-03-31,7 BRUCE DR,SHELTON,United States,06484,CT,steve.lupkas@gmail.com,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
AMERICAN MADE BARBER INC,Stock,Active,Annual report past due,1362044,2021-10-08,79 E PUTNAM AVE.,GREENWICH,,06830,CT,,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Barber Shops (812111),812111.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,200.0,,,,,,
HIPPO WARRANTY SOLUTIONS INC.,Stock,Active,,1362047,2022-10-08,150 FOREST AVENUE,PALO ALTO,United States,94301,CA,annualreports@cscinfo.com,Foreign,2020-10-08,DE,DE,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:41.0400000,2020-10-08,HIPPO WARRANTY SOLUTIONS INC.,United States,,,,,,,,,,,,,,,,,,,
"CENTURION HOLDINGS 1, INC.",Non-Stock,Active,Annual report due,1362053,2021-12-02,"3575 PIEDMONT ROAD BLDG 15, SUITE 930",ATLANTA,United States,30305,GA,,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Other Grantmaking and Giving Services (813219),813219.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
RITE CHOICE PROPERTIES LLC,LLC,Active,Annual report past due,1362054,2021-03-31,8 ROUND HILL DR,MONROE,United States,06468,CT,RITECP@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
SUGAR & SPIKED LLC,LLC,Active,,1362056,2022-03-31,"165 FOUNTAIN STREET, APT. A1",NEW HAVEN,United States,06515,CT,daniellafmosca@gmail.com,Domestic,2020-10-08,CT,Connecticut,True,False,False,False,False,Retail Bakeries (311811),311811.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
BRING LLC,LLC,Active,Annual report past due,1362062,2021-03-31,16 ROCKWOOD LANE,GREENWICH,,06830,CT,AMY@JURKOWITZ.COM,Foreign,2020-10-08,DE,DE,False,False,False,False,False,,,2021-11-10 00:12:41.0400000,2020-10-08,BRING LLC,,"16 ROCKWOOD LANE, GREENWICH, CT, 06830,",16 ROCKWOOD LANE,GREENWICH,CT,06830,,"108 WEST 13TH ST., WILMINGTON, DE, 19801,",108 WEST 13TH ST.,WILMINGTON,DE,19801,,,,,,,,
"THE GROWING CABLE, LLC",LLC,Active,Annual report past due,1362069,2021-03-31,47 MAPLE AVE.,UNCASVILLE,,06382,CT,CHRISTOPH@PCPARTSBIN.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
"TORANKU, LLC",LLC,Active,Annual report past due,1362090,2021-03-31,9 MASON STREET,TORRINGTON,United States,06790,CT,PEBERSOL@EMLAWFIRM.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
"CONVIVIUM CT, LLC",LLC,Active,Annual report past due,1362091,2021-03-31,24 EAST MAIN STREET,TORRINGTON,United States,06790,CT,PEBERSOL@EMLAWFIRM.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
MUG LIFE LLC,LLC,Active,,1362137,2022-03-31,93 BENSON STREET,NEW BRITAIN,United States,06051,CT,muglifellc@gmail.com,Domestic,2020-10-08,CT,Connecticut,True,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",,2021-11-10 00:12:44.6966667,,,,,,,,,,,,,,,,,,,,,,
"ADVANCE SALES & MARKETING, LLC",LLC,Active,Annual report past due,1362163,2021-03-31,555 WEST PURCHASE ROAD,SOUTHBURY,United States,06488,CT,IODICE13@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:45.3066667,,,,,,,,,,,,,,,,,,,,,,
"PRYOR & PEACOCK, LLC",LLC,Active,,1362164,2022-03-31,457 TWIN LAKES ROAD,SALISBURY,United States,06068,CT,wright.rosalind@gmail.com,Domestic,2020-10-08,CT,Connecticut,True,False,False,False,False,"Sewing, Needlework, and Piece Goods Stores (451130)",,2021-11-10 00:12:45.3066667,,,,,,,,,,,,,,,,,,,,,,
MADQF INC.,Stock,Active,First report past due,1362165,2021-01-06,No information provided,,,,,WNCTAX@YAHOO.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:45.3066667,,,,,,,,,,,,,,,,200.0,,,,,,
CHILDREN'S WORLD BANK INC,Non-Stock,Active,First report past due,1362166,2021-01-06,No information provided,,,,,EASTERN@REGISTEREDAGENTSINC.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.3066667,,,,,,,,,,,,,,,,,,,,,,
BEDDA LLC,LLC,Active,Annual report past due,1362167,2021-03-31,120 TOWNE STREET 337,STAMFORD,United States,06901,CT,THEBEDDA@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),448150.0,2021-11-10 00:12:45.3066667,,,,,,,,,,,,,,,,,,,,,,
L&L ALFARO PAINTING LLC,LLC,Dissolved,,1362032,2021-03-31,238 WEBER ST,STRATFORD,United States,06614,CT,JJPAINTINGCOMPANY20@GMAIL.COM,Domestic,2020-10-08,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),,2021-11-10 00:06:12.5300000,,,,,,,,,,,,,,,,,,,2020-10-09T00:00:00.000,,,
WALLINGFORD ARTS & CULTURE ALLIANCE LLC,LLC,Dissolved,,1362022,2022-03-31,3 COLLIN COURT,WALLINGFORD,United States,06492,CT,WACAforall@gmail.com,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:12:39.6500000,,,,,,,,,,,,,,,,,,,2021-05-12T00:00:00.000,,,
EASTFIELD FAM LLC,LLC,Active,,1362033,2022-03-31,12 KIDDER BROOK RD,ASHFORD,United States,06278,CT,evntr1121@yahoo.com,Domestic,2020-10-09,CT,Connecticut,True,False,False,False,False,Horses and Other Equine Production (112920),112920.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
DARK WATER STRATEGIES LLC,LLC,Active,,1362034,2022-03-31,385 MAIN STREET SOUTH SUITE 404-120,SOUTHBURY,United States,06488,CT,Herrmann.ps@gmail.com,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
UPSIDE THEATRE LLC,LLC,Dissolved,,1362036,2021-03-31,9 KENNEDY DRIVE,BRIDGEPORT,United States,06606,CT,UPSIDETHEATRE@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,True,False,True,False,False,Other Performing Arts Companies (711190),711190.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,2021-01-30T00:00:00.000,,,
SKYE POINT STRATEGIES LLC,LLC,Active,,1362037,2022-03-31,385 MAIN STREET SOUTH SUITE 404-120,SOUTHBURY,United States,06488,CT,Herrmann.ps@gmail.com,Domestic,2020-10-09,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
PITTSFORD HOLDINGS LLC,LLC,Active,,1362041,2022-03-31,2319 WHITNEY AVE.,HAMDEN,United States,06518,CT,jloehmann@byxbee.com,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:12:40.3200000,,,,,,,,,,,,,,,,,,,,,,
68 MULBERRY STREET LLC,LLC,Active,Annual report past due,1362045,2021-03-31,68 MULBERRY STREET,STAMFORD,United States,06907,CT,GEEDUR@OPTONLINE.NET,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
J&J ALFARO PAINTING LLC,LLC,Active,,1362046,2022-03-31,238 WEBER ST,STRATFORD,United States,06614,CT,jjpaintingcompany20@gmail.com,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
GRETCHEN SCOTT GREENWICH LLC,LLC,Active,,1362048,2022-03-31,73 GREENWICH AVENUE ? FIRST FLOOR,GREENWICH,United States,06830,CT,accounting@gretchenscott.com,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Women's Clothing Stores (448120),813990.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
LULE FOUNDATION LLC,LLC,Active,Annual report past due,1362049,2021-03-31,411 HIGHLAND AVENUE,WATERBURY,United States,06708,CT,LULEFOUNDATION@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,True,False,False,Other Social Advocacy Organizations (813319),813319.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
92 ORCHARD PLACE LLC,LLC,Active,Annual report past due,1362050,2021-03-31,259 EAST MOSHOLU PARKWAY NORTH APT. 2,BRONX,United States,10467,NY,SAMIAM259@MSN.COM,Domestic,2020-10-09,NY,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
"FAITH BUILDERS,  LLC",LLC,Active,Annual report past due,1362051,2021-03-31,46 WEST SHORE DRIVE,EXETER,United States,02822,RI,LAKEDUDES@HOTMAIL.COM,Foreign,2020-10-09,RI,RI,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:41.0400000,2020-10-09,"FAITH BUILDERS,  LLC",United States,"46 WEST SHORE DRIVE, EXETER, RI, 02822, United States",46 WEST SHORE DRIVE,EXETER,RI,02822,United States,"46 WEST SHORE DRIVE, EXETER, RI, 02822, United States",46 WEST SHORE DRIVE,EXETER,RI,02822,United States,,,,,,,
"NXTTHING RPO, LLC",LLC,Active,,1362052,2022-03-31,7298 UPPER CLARENTON DRIVE SOUTH,NEW ALBANY,United States,43054,OH,finance@nxtthingrpo.com,Foreign,2020-10-09,OH,OH,False,False,False,False,False,Human Resources Consulting Services (541612),,2021-11-10 00:12:41.0400000,2020-10-09,"NXTTHING RPO, LLC",United States,"7298 UPPER CLARENTON DRIVE SOUTH, NEW ALBANY, OH, 06108, United States",7298 UPPER CLARENTON DRIVE SOUTH,NEW ALBANY,OH,06108,United States,"7298 UPPER CLARENTON DRIVE SOUTH, NEW ALBANY, OH, 43054, United States",7298 UPPER CLARENTON DRIVE SOUTH,NEW ALBANY,OH,43054,United States,,,,,,,
STRENGTH AGAIN LLC,LLC,Active,,1362057,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,eastern@registeredagentsinc.com,Foreign,2020-10-09,NH,NH,False,False,False,False,False,Supermarkets and Other Grocery (except Convenience) Stores (445110),,2021-11-10 00:12:41.0400000,2020-10-09,STRENGTH AGAIN LLC,United States,"159 MAIN STREET, SUITE 100, NASHUA, NH, 03060, United States","159 MAIN STREET, SUITE 100",NASHUA,NH,03060,United States,"159 MAIN STREET, SUITE 100, NASHUA, NH, 03060, United States","159 MAIN STREET, SUITE 100",NASHUA,NH,03060,United States,,,,,,,
AMBC USA LLC,LLC,Active,,1362058,2022-03-31,22 GLENBROOK ROAD SUITE 102,STAMFORD,United States,06902,CT,union3819@gmail.com,Domestic,2020-10-09,CT,Connecticut,False,False,True,False,False,Gold Ore Mining (212221),212221.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
COPPER HILL CREAMERY LLC,LLC,Active,Annual report past due,1362059,2021-03-31,30 COPPER HILL RD,EAST GRANBY,United States,06026,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
KAL SMALL ENGINE REPAIR LLC,LLC,Dissolved,,1362060,2021-03-31,9 WOODVALE RD,WEST HAVEN,United States,06516,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,2021-04-05T00:00:00.000,,,
ASCEND COUNSELING & COMMUNITY WELLNESS PLLC,LLC,Active,,1362061,2022-03-31,15 KENDALL TER E,DANBURY,United States,06811,CT,Chantel.herron@gmail.com,Domestic,2020-10-09,CT,Connecticut,True,False,True,False,False,"Offices of Physicians, Mental Health Specialists (621112)",621112.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
NAHAL TANINIM LLC,LLC,Active,Annual report past due,1362063,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:41.0400000,,,,,,,,,,,,,,,,,,,,,,
NAHAL ALEXANDER LLC,LLC,Active,Annual report past due,1362064,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
NAHAL HAKISHAN LLC,LLC,Active,Annual report past due,1362065,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
ALDEN ELM DEL LLC,LLC,Active,Annual report past due,1362066,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,Foreign,2020-10-09,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.0400000,2020-10-09,ALDEN ELM DEL LLC,United States,"1013 CENTRE RD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE RD SUITE 403-B,WILMINGTON,DE,19805,United States,"1013 CENTRE RD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE RD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,
OCEAN 70 DEL LLC,LLC,Active,Annual report past due,1362067,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,Foreign,2020-10-09,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.0400000,2020-10-09,OCEAN 70 DEL LLC,United States,"1013 CENTRE RD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE RD SUITE 403-B,WILMINGTON,DE,19805,United States,"1013 CENTRE RD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE RD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,
AFFORDABLE TREE LLC,LLC,Active,Annual report past due,1362068,2021-03-31,337 SHEWVILLE RD,LEDYARD,United States,06339,CT,AFFORDABLETREEMAN@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
VDS BUILDERS LLC,LLC,Active,Annual report past due,1362070,2021-03-31,23 VINCENT ST.,WEST HARTFORD,United States,06119,CT,SVALEDASERRA@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
SIMPLICITY BOUTIQUE LLC,LLC,Active,Annual report past due,1362071,2021-03-31,1289 RAILROAD AVENUE UNIT 122,BRIDGEPORT,United States,06605,CT,CONTACT@SIMPLICITY-BOUTIQUE.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),448150.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
OX RIDGE HORSE TRANSPORT LLC,LLC,Active,,1362073,2022-03-31,95 Cheesespring Rd,Wilton,United States,06897-2304,CT,OXRIDGEHORSETRANSPORT@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,True,False,True,False,False,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",484230.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
SOCON HOME IMPROVEMENT LLC,LLC,Active,,1362074,2022-03-31,1458 EAST MAIN ST #6,BRIDGEPORT,United States,06608,CT,ANTHONY@JORDANREALTYCO.COM,Domestic,2020-10-09,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
VERVE ART LLC,LLC,Active,Annual report past due,1362075,2021-03-31,156 WEST CEDAR STREET APT. 39,NORWALK,United States,06854,CT,URAMIR@PROTONMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
241EAH LLC,LLC,Active,Annual report past due,1362076,2021-03-31,45 OWN HOME AVE,WILTON,United States,06897,CT,DPAGANO@DAPAGANO.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
E-ELECTRONICS LLC,LLC,Active,Annual report past due,1362077,2021-03-31,681 ALBANY AVENUE,HARTFORD,United States,06112,CT,MIGUEL.CORREA@SUNRISETAX.NET,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
POURHOUSE CT LLC,LLC,Active,Annual report past due,1362078,2021-03-31,847 STAFFORD ROAD,STORRS,United States,06268,CT,MARC.ALDERUCCI@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
MAJESTIC INSURANCE & TAX SERVICES LLC,LLC,Active,,1362079,2022-03-31,2 NORTH MAIN STREET BM127,BEACON FALLS,United States,06403,CT,vdaniels@majestic-insurance.com,Domestic,2020-10-09,CT,Connecticut,True,True,True,False,False,Direct Health and Medical Insurance Carriers (524114),524114.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
INNOVATIVE COUNSELING SOLUTIONS LLC,LLC,Active,Annual report past due,1362080,2021-03-31,2507 POST RD THIRD FLOOR,SOUTHPORT,United States,06890,CT,LINDA@INNOVATIVECOUNSELINGSOLUTIONS.COM,Domestic,2020-10-09,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:42.0400000,,,,,,,,,,,,,,,,,,,,,,
AMERICAN ZEN ACADEMY INC,Non-Stock,Active,First report past due,1362081,2021-01-07,No information provided,,,,,HUIC1990@YAHOO.COM,Domestic,2020-10-09,CT,Connecticut,False,False,True,False,False,Religious Organizations (813110),813110.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
WOLVERINE MEDIA LLC,LLC,Active,Annual report past due,1362082,2021-03-31,2 NORTH MAIN STREET,JEWETT CITY,United States,06351,CT,MIKE@SNSNONLINE.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
EGA HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1362084,2021-03-31,12 FITCH ST APT 4,NORWALK,United States,06855,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
BUDGET BOBCAT REALTY LLC,LLC,Active,,1362085,2022-03-31,97 AUBLE ROAD,BLAIRSTOWN,United States,07825,NJ,compliance@zenbusiness.com,Domestic,2020-10-09,NJ,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
CLOSET ACCENT LLC,LLC,Active,Annual report past due,1362086,2021-03-31,690 LAKESIDE DRIVE,BRIDGEPORT,United States,06606,CT,IMANIXNEEDHAM@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),448150.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
COVE HOLLOW LLC,LLC,Active,,1362087,2022-03-31,6 WHITMAN LANE,OLD LYME,United States,06371,CT,jvisgilio@overabove.com,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
DIAZ & SONS S.G. HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1362088,2021-03-31,86 SPRINGSIDE AVENUE A-4,NEW HAVEN,United States,06515,CT,MALDONADOSBC@GMAIL.COM,Domestic,2020-10-09,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
FIT COACH IN THE HILLS LLC,LLC,Active,,1362089,2022-03-31,18 BROOK HILL ROAD,LITCHFIELD,United States,06759,CT,suzanne@fitcoachinthehills.com,Domestic,2020-10-09,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.7300000,,,,,,,,,,,,,,,,,,,,,,
